file_path,n_grams_literal_integrity,n_grams_pos_integrity,sentence_length
test/sus/shortest-suspicious-document00424.txt,0.006049115204044778,0.2506495189415714,17.128486724496838
test/sus/shortest-suspicious-document00356.txt,0.005550617283950617,0.3216664049491716,9.270365825558478
test/sus/shortest-suspicious-document00395.txt,0.007443845462713389,0.20508930429177774,10.040510805197119
test/sus/shortest-suspicious-document00023.txt,0.004489337822671157,0.1871481511782214,19.55297523600207
test/sus/shortest-suspicious-document00018.txt,0.027426434406062367,0.2345147376403974,14.56740387073823
test/sus/shortest-suspicious-document00384.txt,0.0015844721727074672,0.222631469175696,12.245893383575767
test/sus/shortest-suspicious-document00056.txt,0.009811287477954147,0.1891721725614894,10.495363595646934
test/sus/shortest-suspicious-document00136.txt,0.00040477636106051404,0.12701547277144692,14.988127346425136
test/sus/shortest-suspicious-document00122.txt,0.008511036288814063,0.18808466308088298,29.967760454639695
test/sus/shortest-suspicious-document00281.txt,0.0016003657978966627,0.20418511573715947,46.21397625969445
test/sus/shortest-suspicious-document00295.txt,0.001677852348993289,0.23382937557011704,34.43278560817693
test/sus/shortest-suspicious-document00087.txt,0.012841049382716034,0.2003714096135261,13.897647836400784
test/sus/shortest-suspicious-document00291.txt,0.007018321513002361,0.12293645089489036,15.651025185973623
test/sus/shortest-suspicious-document00285.txt,0.010938047643335454,0.4028230444547863,17.465771785970468
test/sus/shortest-suspicious-document00247.txt,0.003909081495288386,0.31063363609702604,11.483851077166978
test/sus/shortest-suspicious-document00284.txt,0.004409825255522586,0.20394782994130456,14.890460249824816
test/sus/shortest-suspicious-document00047.txt,0.0013220359353404245,0.24386009995487995,28.347741886190565
test/sus/shortest-suspicious-document00279.txt,0.004870231224363852,0.35644046641740235,9.574563773533368
test/sus/shortest-suspicious-document00319.txt,0.00877632813166197,0.31919941004853686,17.456481459311075
test/sus/shortest-suspicious-document00126.txt,0.012101882012305446,0.2770779823398442,22.0725769496598
test/sus/shortest-suspicious-document00442.txt,0.006446399478657535,0.3627013006907843,27.479316716800334
test/sus/shortest-suspicious-document00244.txt,0.001660853678790899,0.2864909396919403,22.018788639252993
test/sus/shortest-suspicious-document00046.txt,0.003170547037667992,0.16844870022494532,9.562185138104397
test/sus/shortest-suspicious-document00276.txt,0.002991181657848324,0.2116558365944978,11.787409382176389
test/sus/shortest-suspicious-document00306.txt,0.021341701453308572,0.2882880977527221,12.378278321056946
test/sus/shortest-suspicious-document00258.txt,0.0003170074496750673,0.20905677770519607,14.206805880750723
test/sus/shortest-suspicious-document00311.txt,0.0006806193636208949,0.1860847812624418,9.69550945543681
test/sus/shortest-suspicious-document00410.txt,0.004396482813749002,0.12347344573320958,10.67988763985839
test/sus/shortest-suspicious-document00228.txt,0.00034668053388802215,0.15886669030070233,10.043002298182069
test/sus/shortest-suspicious-document00016.txt,0.005188067444876785,0.145957752102138,17.01289908210431
test/sus/shortest-suspicious-document00398.txt,0.0003811701924909472,0.14775156259084848,7.75073629040998
test/sus/shortest-suspicious-document00415.txt,0.012054282927757558,0.3511870358514235,24.09170513704367
test/sus/shortest-suspicious-document00159.txt,0.041449044872140454,0.19341671917205766,11.826149536407431
