,inner_word_ngrams,inner_pos_ngrams,inner_average_sentence_length,inner_normalized_standard_deviation_of_sentence_length,inner_average_word_length,inner_normalized_standard_deviation_of_word_length,inner_average_syllables_per_word,inner_normalized_standard_deviation_of_syllables_per_word,inner_average_flesch_kincaid_reading_ease_score_per_sentence,inner_normalized_standard_deviation_of_flesch_kincaid_reading_ease_score_per_sentence,inner_average_gunning_fog_index_per_sentence,inner_normalized_standard_deviation_of_gunning_fog_index_per_sentence,external_Unnamed: 0,external_word_ngrams,external_pos_ngrams,external_average_sentence_length,external_normalized_standard_deviation_of_sentence_length,external_average_word_length,external_normalized_standard_deviation_of_word_length,external_average_syllables_per_word,external_normalized_standard_deviation_of_syllables_per_word,external_average_flesch_kincaid_reading_ease_score_per_sentence,external_normalized_standard_deviation_of_flesch_kincaid_reading_ease_score_per_sentence,external_average_gunning_fog_index_per_sentence,external_normalized_standard_deviation_of_gunning_fog_index_per_sentence,external_file_name,sentence_vector_similarity_max,sentence_vector_similarity_avg
0,0.0606947275262819,0.10233449146199898,24.16062176165803,0.48836804545082874,4.613339052112374,0.5538985604439504,1.3251125884623633,0.5056063767857962,65.37507772020726,0.3222651464680919,12.465751295336789,0.4524466136063828,0,4.177007313796444e-06,3.646914805502388e-05,0.04951065054692094,0.001092455743040066,1.1906248498227967e-05,6.130774101986702e-05,0.00022369957347456726,4.408296256130928e-05,0.001077720207291577,6.748238784270999e-05,0.011924764724552617,0.0007957857928579948,ex_src_p10_00524.txt,1.0000000000000007,0.8599948203343366
1,0.06161015608521409,0.09740312852347473,13.787790697674419,1.4701684661275243,4.505587181109003,0.5841354124610156,1.3550495467004007,0.5310568084726327,70.24459302325586,0.6032593124467358,9.867819767441881,1.0816409329220655,0,8.6246985610966e-07,2.871266995223276e-05,0.03836017375642342,0.02896241754623663,0.00017661459086149023,1.0992293737244196e-05,0.00010658092093307481,1.5042938368847736e-05,0.02028867542982482,0.0013560602606559335,0.0003543296538648377,0.009912788773513537,ex_src_p10_00524.txt,1.0000000000000007,0.8014472400206075
2,0.061778947925486875,0.08704315424030461,15.099041533546325,0.7847616648522134,4.556707575116378,0.5615187457767047,1.3595006347862886,0.5244197863165316,70.41159744408948,0.43999975001618225,9.210798722044734,0.6807695410515188,0,2.3504469034575648e-05,0.00016646353993959861,0.03925892485067273,0.001415617596852492,6.619393092321957e-06,5.15835278304122e-05,0.00042706983545159893,6.086547090222716e-06,0.026967149211941432,1.7893674335134335e-05,0.01563508568109029,0.0002097053719669617,ex_src_p10_00524.txt,1.0000000000000007,0.8517370894155246
3,0.06165639996308602,0.0984048290770809,14.077922077922079,0.7459489682891329,4.437822878228782,0.571635140259845,1.3005535055350554,0.5154150972306442,77.29971428571434,0.2853874874868473,8.090519480519486,0.6347431259926658,0,5.7225677996194935e-06,6.648009754917084e-07,0.0447588126159566,0.00033739079054317944,0.001791682799055394,6.672575129362812e-05,0.0005744391754154421,7.189165029075628e-05,0.06666366704148174,0.0003444859882567042,0.03157750099730272,8.711885041001732e-05,ex_src_p10_00524.txt,1.0000000000000007,0.8230549153425102
4,0.06174698502236918,0.09051145420658031,13.323834196891191,1.049251181060515,4.585844837643399,0.5567526298928037,1.3422127163134356,0.5329531613293821,72.98743523316064,0.42348327944933495,8.705777202072538,0.8315018757551639,0,8.458434083119526e-06,1.3062444510381077e-05,0.006549283934766947,0.004186574449375424,0.00012509728448328872,2.6629617360440783e-05,0.0003069687259342757,3.852733425435684e-05,0.0027003600596486876,0.00033882024037362735,0.008146432841764195,0.0009927065601227358,ex_src_p10_00524.txt,1.000000000000001,0.7650344570171829
5,0.06181333635745069,0.08261174073247905,11.427461139896373,1.0055980659107517,4.24801632282929,0.5562671431181325,1.2505100884153253,0.4801404357777054,81.25085492227981,0.39667744578388475,6.840051813471508,0.8985224982364742,0,3.9318206627808605e-05,0.0003339837815196506,0.02095155851632491,0.0007538894039962329,0.00017687301065372196,8.02174696116209e-05,2.015433372881681e-05,0.00027003468957487176,0.08254983753408851,0.00017316399808497973,0.004614853195157309,0.000452323547480149,ex_src_p10_00524.txt,1.0000000000000007,0.7808721413169207
6,0.060468947243062995,0.10119708968885266,28.284848484848485,1.0015677382787016,4.512749089350761,0.5544154968913174,1.343046925219627,0.538791991898044,60.03272727272727,0.5422323920103792,14.405818181818187,0.7974703107774169,0,1.7005695727920211e-06,4.521711157313979e-05,0.03327615780445825,0.0029154081891114014,0.00022107957280148582,9.124504010804557e-06,9.508275520908605e-05,0.0001790754567002617,0.02318181818181131,0.0006356804485176948,0.004663745892658611,0.00016183864862129305,ex_src_p10_00524.txt,1.0000000000000007,0.8834853709008225
7,0.058302956872799835,0.10037898687131201,26.57777777777778,0.6814132482070252,4.275919732441472,0.5721957000484097,1.3131270903010033,0.5417379668657738,62.24311111111109,0.4261326815589266,13.998611111111119,0.5637420346008968,0,8.981920107564711e-06,4.6856361096137e-06,0.07704455724759995,0.0006502492995864584,0.00035787781502971683,1.6517678343208608e-05,0.00034075127559729523,4.6992393544997846e-05,0.0070537240536907575,0.0006140337930561346,0.0008857442347913747,0.0001785213226357385,ex_src_p10_00524.txt,1.0000000000000007,0.867020451217473
8,0.06134248340321454,0.10061973258772758,21.286245353159853,1.0119964563040411,4.390324834090115,0.523083777332967,1.2886831994411456,0.4922108437459291,72.140594795539,0.4747774233936148,10.823308550185887,0.888845180585359,0,1.2123473689604203e-06,8.308383897287497e-05,0.008267013809671653,0.0022030207839152105,0.0018728473351474761,6.171409348365575e-05,2.4837181438197575e-05,1.3655765325693014e-05,0.01044938116773153,1.2166008251157656e-05,0.004770267548105167,0.00022283853703308765,ex_src_p10_00524.txt,1.0000000000000007,0.8510617850619092
9,0.0567072048301423,0.10689055263049965,25.962962962962962,0.6007641468998672,4.208630527817403,0.5230162933311882,1.2432239657631954,0.468959890030787,72.68912037037035,0.321600698618139,12.362777777777787,0.5488789120549288,0,2.083351871869782e-05,9.341917363847596e-06,0.0037037037037030984,0.0015087035341279087,0.0005385266238571162,5.769908295150117e-06,0.00032773339106317856,0.0001211068995952691,0.011030383398463073,0.0002532942993033749,0.026886688668874115,7.690829043616176e-06,ex_src_p10_00524.txt,1.0000000000000007,0.8916134803240351
